100032373000896513	15486118	0	0	positive
100032373000896513	15486118	1	13	objective
100032373000896513	15486118	14	14	positive
100032373000896513	15486118	15	18	objective
100032373000896513	15486118	19	19	positive
100125579361263616	34269158	0	3	objective
100125579361263616	34269158	4	4	positive
100125579361263616	34269158	5	6	objective
100125579361263616	34269158	7	12	positive
100320067245457408	55630620	0	13	objective
100320067245457408	55630620	14	14	positive
100320067245457408	55630620	15	15	objective
108072588927975424	14083693	0	16	objective
108072588927975424	14083693	17	18	positive
108072588927975424	14083693	19	25	objective
100000995597221888	219187394	0	14	objective
110466563903201280	74970409	0	1	positive
110466563903201280	74970409	2	5	objective
110466563903201280	74970409	6	8	positive
110466563903201280	74970409	9	16	objective
109227767333265408	310626016	0	15	objective
100621424493993984	260425969	0	14	objective
101421590318817282	278055468	0	17	objective
101662874845450240	96235413	0	2	objective
101662874845450240	96235413	3	5	positive
101662874845450240	96235413	6	6	objective
101662874845450240	96235413	7	8	positive
101662874845450240	96235413	9	20	objective
108822126500392960	73204959	0	10	objective
108822126500392960	73204959	11	12	positive
108822126500392960	73204959	13	15	objective
100017032229163008	16475834	0	2	objective
100017032229163008	16475834	3	4	positive
100017032229163008	16475834	5	24	objective
100576230503497728	6130932	0	12	objective
100576230503497728	6130932	13	13	positive
100576230503497728	6130932	14	16	objective
100076290232688640	313899143	0	3	objective
100076290232688640	313899143	4	4	negative
100076290232688640	313899143	5	17	objective
101301416529903618	145024879	0	4	objective
101301416529903618	145024879	5	7	negative
101301416529903618	145024879	8	14	objective
93266956513325057	230752398	0	16	objective
110223787944976384	45879460	0	23	objective
103262339138199553	127937619	0	2	objective
103262339138199553	127937619	3	4	neutral
103262339138199553	127937619	5	12	objective
103203884725567488	50357085	0	1	objective
103203884725567488	50357085	2	2	negative
103203884725567488	50357085	3	5	objective
103203884725567488	50357085	6	7	negative
103203884725567488	50357085	8	27	objective
100032433461805057	91838700	0	26	objective
100274604597194753	26452984	0	4	objective
100274604597194753	26452984	5	5	positive
100274604597194753	26452984	6	14	objective
111423636795179008	177283095	0	8	objective
111423636795179008	177283095	9	10	positive
111423636795179008	177283095	11	14	objective
105634641419042816	20345118	0	24	objective
105634641419042816	20345118	25	26	positive
100503331952271360	78645751	0	24	objective
100396172983812096	254870677	0	3	objective
100396172983812096	254870677	4	4	positive
100396172983812096	254870677	5	18	objective
109378820536147969	17732891	0	18	objective
109378820536147969	17732891	19	19	positive
109378820536147969	17732891	20	27	objective
111718863531548672	20034203	0	23	objective
100229839008698368	18898102	0	2	objective
100229839008698368	18898102	3	3	negative
100229839008698368	18898102	4	14	objective
112762035024044033	39973709	0	2	objective
112762035024044033	39973709	3	4	negative
112762035024044033	39973709	5	12	objective
112762035024044033	39973709	13	14	negative
112762035024044033	39973709	15	20	objective
100318790037929984	155997995	0	25	objective
102901996452974592	132506556	0	19	objective
102901996452974592	132506556	20	23	positive
111409896934748160	34626959	0	4	objective
111409896934748160	34626959	5	5	negative
111409896934748160	34626959	6	14	objective
111409896934748160	34626959	15	15	negative
111409896934748160	34626959	16	21	objective
111326412757151744	255182372	0	14	objective
100017548879347712	37736819	0	24	objective
102386648167350273	82648480	0	16	objective
102386648167350273	82648480	17	19	positive
102386648167350273	82648480	20	23	objective
102677670592118784	59770385	0	20	objective
100197935970652160	192590613	0	25	objective
100100504834670592	55396290	0	11	objective
100100504834670592	55396290	12	13	positive
100100504834670592	55396290	14	14	objective
100100504834670592	55396290	15	17	positive
100100504834670592	55396290	18	18	objective
